Year,Conference,Title,"Compiler optimization","Resource management","Parsing","Low-level compiler optimizations","Semantics of concurrent programs","Array Processing","Garbage Collection","Components and APIs","Program Analysis","Type Systems","Verification","Test generation","Object-Oriented Programming","Analysis of Concurrent Programs","Applications (mobile, systems, networking, web)","Program Logics","Parallelism","Language Design","Models and Modeling","Object-oriented software development"
1977,"POPL","A complete and consistent hoare axiomatics for a simple programming language - J. Cherniavsky, S. Kamin",0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,2.5448212742,0.0318900597,2.1573025121,2.3935463927,0.0318900597
1977,"POPL","An efficient insertion-only error-corrector for LL(1) parsers - C. N. Fischer, D. R. Milton, S. B. Quiring",0.0318900597,0.0318900597,24.3364394967,7.2949746118,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,8.3511809263,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,18.1449652039,0.0318900597,0.0318900597
1977,"POPL","Symbolic evaluation and the global value graph - John H. Reif, Harry R. Lewis",0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,84.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597
1977,"POPL","An interprocedural data flow analysis algorithm - Jeffrey M. Barth",0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,66.6606152955,0.0318900597,0.0318900597,0.0318900597,1.4031648238,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597
1977,"POPL","Implementation of an array bound checker - Norihisa Suzuki, Kiyoshi Ishihata",10.0315436833,0.0318900597,0.0318900597,0.0318900597,0.0318900597,139.7339493568,0.0318900597,0.0318900597,0.0318900597,0.0318900597,62.3885736442,11.7984567111,0.0318900597,0.0318900597,0.0318900597,29.2069269029,0.0318900597,0.0318900597,0.0318900597,0.0318900597
1977,"POPL","The evolution of programs: a system for automatic program modification - Nachum Dershowitz, Zohar Manna",0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,23.4693299013,37.6403211720,0.0318900597,0.0318900597,8.9860191058,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597
1977,"POPL","Parallel program correctness through refinement - Thomas W. Doeppner, Jr.",0.0318900597,0.0318900597,0.0318900597,0.0318900597,3.8315024131,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,16.3328433973,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,5.9313243686,0.0318900597,0.0318900597,0.0318900597
1977,"POPL","Generalized left corner parsing - Alan J. Demers",0.0318900597,0.0318900597,176.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597
1977,"POPL","Elimination of single productions from LR parsers in conjunction with the use of default reductions - Eljas Soisalon-Soininen",0.0318900597,245.7526428072,92.3245911997,9.0184361721,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597
1977,"POPL","The competence/performance dichotomy in programming preliminary report - Vaughan R. Pratt",0.0318900597,0.0318900597,0.0318900597,55.3585925106,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,6.0401937675,0.0318900597,2.3807953274,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,18.3479786331
