Year,Conference,Title,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
1986,"POPL","Remote attribute updating for language-based editors - Thomas W. Reps Carla Marceau Tim Teitelbaum",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","Dynamically bypassing copy rule chains in attribute grammars - Roger Hoover",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","High-quality code generation via bottom-up tree pattern matching - Philip J. Hatcher Thomas W. Christopher",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","A parallel language and its compilation to multiprocessor machines or VLSI - Marina C. Chen",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","Towards programming with knowledge expressions - Reino Kurki-Suonio",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","Limitations of synchronous communication with static process structure in languages for distributed computing - Barbara Liskov Maurice Herlihy Lucy Gilbert",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","Atomic data abstractions in a distributed collaborative editing system - Irene Greif Robert Seliger William E. Weihl",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","A really abstract concurrent model and its temporal logic - Howard Barringer Ruurd Kuiper Amir Pnueli",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","Expressing interesting properties of programs in propositional temporal logic - Pierre Wolper",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","Operational semantics of a parallel object-oriented language - Pierre America Jaco de Bakker Joost N. Kok Jan J. M. M. Rutten",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","Equational logic programming - Jia-Huai You P. A. Subrahmanyam",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","Logic and inheritance - Hassan A&#239;t-Kaci Roger Nasr",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","Global storage allocation in attribute evaluation - Takuya Katayama Hisashi Sasaki",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","Unification in many-sorted algebras as a device for incremental semantic analysis - Gregor Snelting Wolfgang Henhapl",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,"POPL","Distributed data structures in Linda - Nicholas Carriero David Gelernter Jerrold Leichter",0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
