Year,Conference,Title,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
2001,"POPL","Programming language methods in computer security - John C. Mitchell",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,5.0879392295,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,17.9654747262,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","Efficient deductive methods for program analysis - Harald Ganzinger",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,5.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","Mobile values, new names, and secure communication - Martín Abadi, Cédric Fournet",0.0267069779,17.8851642899,6.8491765128,0.0267069779,0.0267069779,10.2602733928,0.0267069779,0.0267069779,0.0267069779,8.1122137159,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","Nomadic pict: correct communication infrastructure for mobile computation - Asis Unyapoth, Peter Sewell",2.7708886352,0.0267069779,16.6871174084,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,2.3968021815,80.2520196863,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","A generic type system for the Pi-calculus - Atsushi Igarashi, Naoki Kobayashi",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,26.4983004209,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,25.5551135348,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","Oracle-based checking of untrusted software - George C. Necula, S. P. Rahul",0.0267069779,0.0267069779,26.4550306767,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,16.4438424178,34.4875077474,0.0267069779,0.0267069779,2.7204470697,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","Stratified operational semantics for safety and correctness of the region calculus - Cristiano Calcagno",0.0267069779,0.0267069779,42.8835666961,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,30.7244401038,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,5.4721141337
2001,"POPL","Type-preserving garbage collectors - Daniel C. Wang, Andrew W. Appel",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,11.8000794253,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,42.0496909542,0.0267069779,0.0267069779,0.0267069779,0.0267069779,15.2303505541,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","A compiler technique for improving whole-program locality - Mahmut Taylan Kandemir",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,127.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","Avoiding exponential explosion: generating compact verification conditions - Cormac Flanagan, James B. Saxe",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,10.1343485190,0.0267069779,13.7436100075,20.5225311548,0.0267069779,16.7063382302,0.0267069779,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","What packets may come: automata for network monitoring - Karthikeyan Bhargavan, Satish Chandra, Peter J. McCann, Carl A. Gunter",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,21.2452741815,28.1787758277,0.0267069779,0.0267069779,0.0267069779,75.6560709244,0.0267069779
2001,"POPL","Extensionality and intensionality of the ambient logics - Davide Sangiorgi",0.0267069779,0.0267069779,54.4563365643,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,7.5008330340,21.1229513352,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","Computational flux - Robin Milner",0.0267069779,0.0267069779,1.0267076817,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,1.0267062740,0.0267069779,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","Secure safe ambients - Michele Bugliesi, Giuseppe Castagna",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,62.6058996499,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,17.4475143058,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","Modules, abstract types, and distributed versioning - Peter Sewell",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,29.4549768114,0.0267069779,0.0267069779,5.5998437445,0.0267069779,0.0267069779,0.0267069779,20.3277178542,0.0267069779,0.0267069779,5.7242895013
2001,"POPL","Typing a multi-language intermediate code - Andrew D. Gordon, Don Syme",0.0267069779,0.0267069779,0.0267069779,69.1177502214,0.0267069779,25.8710046534,0.0267069779,0.0267069779,30.9526367193,0.0267069779,0.0267069779,0.0267069779,7.2901188859,0.0267069779,0.0267069779,0.0267069779,14.6609941524,0.0267069779,5.2677372347,0.0267069779
2001,"POPL","Type-indexed rows - Mark Shields, Erik Meijer",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,102.0267069779,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","Subtyping arithmetical types - Joseph (Yossi) Gil",0.0267069779,23.2294580153,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,58.8239559404,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","BI as an assertion language for mutable data structures - Samin S. Ishtiaq, Peter W. O'Hearn",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,102.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","Verifying safety properties of concurrent Java programs using 3-valued logic - Eran Yahav",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,11.4988126165,0.0267069779,3.5383693554,0.0267069779,2.4638888643,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,16.2149359668,57.4175280863,0.0267069779
2001,"POPL","Colored local type inference - Martin Odersky, Christoph Zenger, Matthias Zenger",0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,1.9716430371,63.0817709187,0.0267069779,0.0267069779,0.0267069779
2001,"POPL","Type-base flow analysis: from polymorphic subtyping to CFL-reachability - Jakob Rehof, Manuel Fähndrich",35.0964822033,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,20.7518818698,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,0.0267069779,22.2317568605,0.0267069779,0.0267069779,0.0267069779
