Year,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFP Topic 10,ICFP Topic 11,ICFP Topic 12,ICFP Topic 13,ICFP Topic 14,ICFP Topic 15,ICFP Topic 16,ICFP Topic 17,ICFP Topic 18,ICFP Topic 19,OOPSLA # of papers,OOPSLA Topic 0,OOPSLA Topic 1,OOPSLA Topic 2,OOPSLA Topic 3,OOPSLA Topic 4,OOPSLA Topic 5,OOPSLA Topic 6,OOPSLA Topic 7,OOPSLA Topic 8,OOPSLA Topic 9,OOPSLA Topic 10,OOPSLA Topic 11,OOPSLA Topic 12,OOPSLA Topic 13,OOPSLA Topic 14,OOPSLA Topic 15,OOPSLA Topic 16,OOPSLA Topic 17,OOPSLA Topic 18,OOPSLA Topic 19,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,PLDI Topic 10,PLDI Topic 11,PLDI Topic 12,PLDI Topic 13,PLDI Topic 14,PLDI Topic 15,PLDI Topic 16,PLDI Topic 17,PLDI Topic 18,PLDI Topic 19,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9,POPL Topic 10,POPL Topic 11,POPL Topic 12,POPL Topic 13,POPL Topic 14,POPL Topic 15,POPL Topic 16,POPL Topic 17,POPL Topic 18,POPL Topic 19
1976,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,19,10.6338836919,8.66912236342,3.17836206758,0.0320940909,4.74837953863,0.0320940909,3.75198033769,0.258305685021,4.42032297442,5.77614372298,5.5273361521,8.47280771857,0.271640090405,12.8920930766,3.82499448295,1.95839322184,14.6084007699,7.16775547551,0.0320940909,3.06988870198
1986,0,,,,,,,,,,,,,,,,,,,,,48,1.65897078955,9.28880930173,1.20527969317,3.83034520764,0.445635281669,0.567362950212,0.621733094887,12.2410268336,15.5849130319,7.81624003755,16.6157850854,1.05760225025,2.72864896244,5.09047108938,2.84267095777,1.03189022267,3.02684318569,21.9739140533,2.20429028184,1.76778284049,0,,,,,,,,,,,,,,,,,,,,,29,10.0810555052,17.4280500602,1.61961996481,0.0320940909,6.39593376789,0.710067398928,0.0320940909,0.454765008028,1.8618807922,1.05982860612,2.20531439899,8.86444744786,0.0320940909,8.90830094951,0.227265829355,6.39643487404,7.20949005957,8.16459879446,5.81976160203,12.4146465549
1987,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,24,32.1807029555,10.7006378139,0.748208937087,0.0320940909,14.0221120322,0.274387467717,0.442931836779,1.11702563679,9.50731849235,2.1611332734,5.06991593957,8.74320967665,0.0320940909,7.15628702382,2.01293629813,4.87392648446,0.0320940909,0.818627697004,1.80694813995,2.99262317321
1984,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,22,18.0549544176,14.5377948725,4.01705078744,1.24284511543,7.75434616235,1.43882455881,0.281054471173,3.35027590908,6.12114815685,4.59848665502,1.12258439665,2.1288785408,0.0320940909,1.89765506225,0.2849852575,5.88471180541,9.13302532161,16.0881475303,1.72127676253,10.1790146709
1977,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,22,7.4233558611,15.7669782027,0.695123076455,1.14871822438,0.17924468965,4.01555671293,0.432419468955,2.13316397143,15.0911050276,2.79136094445,5.52195371915,3.55310343181,3.77821676391,6.82628135148,4.37845894895,5.7245433797,8.53456921789,13.1265588036,1.62439712298,3.03313653504
1982,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,29,4.26502986725,11.6456208195,1.81508064069,0.0320940909,0.410822481548,0.0320940909,1.64057971973,4.69593007776,33.8567322907,6.1994686464,8.51705915806,2.11494547591,0.0320940909,9.00004099344,0.585218873217,9.29708185998,5.28522255681,19.7666827488,4.58685678859,3.24253689159
1983,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,27,17.2417274305,5.29024874134,0.422988518333,2.0178019063,5.67183931436,3.53236893727,4.0899146611,1.2361308655,7.33021471136,1.50869393542,1.75685917284,2.24192162911,1.44858010462,5.85087972521,0.0320940909,3.46483610642,16.2788518902,3.55666988029,3.34251757656,6.91933521282
1980,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,24,3.05511972529,15.8586651992,0.0320940909,1.65249877678,2.79164713664,1.37055046563,0.0320940909,5.89099476635,12.0731183253,3.08574337379,21.0003497638,0.0320940909,0.0320940909,13.0028800354,0.853563740192,9.79529102773,3.42070249584,15.7075456948,3.18070416883,1.27413075867
1981,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,19,5.28391695481,8.86184212752,12.4061013496,0.0320940909,1.51058524209,0.406898624337,0.0320940909,10.4692413821,9.01434777137,11.5196953654,13.8089585829,1.05074758343,2.86609591219,10.2536737216,3.37797282478,3.49013129474,9.14557810737,4.59322156547,2.89644306018,4.78013690291
1979,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,24,13.8952805528,9.92159682751,2.66234990426,0.193513041329,1.71540418235,0.0320940909,0.0941609129667,5.17550470171,18.4605156601,1.83620343675,18.091525919,0.882631385533,2.72548227503,5.5825463709,0.705459329737,12.3256706983,3.28649433614,8.00963037451,6.14152293326,0.862628218117
