Year,POPL # of papers,POPL Topic 0,POPL Topic 1
2003,25,2488.71636168,1837.71931429
1997,37,0.2178379814,0.2178379814
1986,30,0.2178379814,0.2178379814
1987,29,0.2178379814,0.2178379814
1984,32,2396.47646455,636.740461415
1985,30,0.2178379814,0.2178379814
1982,38,1665.11325173,740.059266343
1983,28,1975.36585694,572.67696188
1980,25,1593.21284113,939.542834834
1981,24,1924.34628004,638.422729257
1988,28,0.2178379814,0.2178379814
1989,30,0.2178379814,0.2178379814
2014,55,1524.78651818,4276.54006687
2011,52,1706.97267926,3827.92453517
2010,41,1545.41085141,3998.2199465
2013,48,940.080553468,4722.52178916
2012,48,1619.40047411,3936.80603519
2005,31,1324.37361713,3756.02980076
1991,31,2071.10096733,1327.3669667
1990,31,0.2178379814,0.2178379814
1993,43,2459.00467199,657.314724903
1992,31,2589.21961251,1143.69993442
1995,35,2836.55945619,1308.44764835
1994,39,2852.33673164,1022.32971356
1979,27,1543.25291362,1431.77535494
1978,27,2009.70448129,1118.43489838
1977,25,1546.44411534,1551.99156063
1976,20,1980.23575239,730.04992357
1975,23,1314.18008165,795.429507354
1996,34,3287.7223206,812.978061241
1973,22,1626.82592684,676.791567307
2002,30,1519.93711231,1552.96523032
1999,25,3323.51015833,1081.56551763
2000,31,0.2178379814,0.2178379814
2001,26,1662.53219589,1705.86501853
2006,36,2371.53647187,2991.06587076
2007,39,1356.83901496,2848.98127639
2004,29,1329.63746911,3607.45337927
1998,32,0.2178379814,0.2178379814
2008,38,1813.46534547,3116.9440147
2009,39,1674.0795466,3639.66382167
