Year,Conference,Title,Topic 0,Topic 1
1986,"POPL","Remote attribute updating for language-based editors - Thomas W. Reps Carla Marceau Tim Teitelbaum",0.2178379814,0.2178379814
1986,"POPL","Dynamically bypassing copy rule chains in attribute grammars - Roger Hoover",0.2178379814,0.2178379814
1986,"POPL","High-quality code generation via bottom-up tree pattern matching - Philip J. Hatcher Thomas W. Christopher",0.2178379814,0.2178379814
1986,"POPL","A parallel language and its compilation to multiprocessor machines or VLSI - Marina C. Chen",0.2178379814,0.2178379814
1986,"POPL","Towards programming with knowledge expressions - Reino Kurki-Suonio",0.2178379814,0.2178379814
1986,"POPL","Limitations of synchronous communication with static process structure in languages for distributed computing - Barbara Liskov Maurice Herlihy Lucy Gilbert",0.2178379814,0.2178379814
1986,"POPL","Atomic data abstractions in a distributed collaborative editing system - Irene Greif Robert Seliger William E. Weihl",0.2178379814,0.2178379814
1986,"POPL","A really abstract concurrent model and its temporal logic - Howard Barringer Ruurd Kuiper Amir Pnueli",0.2178379814,0.2178379814
1986,"POPL","Expressing interesting properties of programs in propositional temporal logic - Pierre Wolper",0.2178379814,0.2178379814
1986,"POPL","Operational semantics of a parallel object-oriented language - Pierre America Jaco de Bakker Joost N. Kok Jan J. M. M. Rutten",0.2178379814,0.2178379814
1986,"POPL","Equational logic programming - Jia-Huai You P. A. Subrahmanyam",0.2178379814,0.2178379814
1986,"POPL","Logic and inheritance - Hassan A&#239;t-Kaci Roger Nasr",0.2178379814,0.2178379814
1986,"POPL","Global storage allocation in attribute evaluation - Takuya Katayama Hisashi Sasaki",0.2178379814,0.2178379814
1986,"POPL","Unification in many-sorted algebras as a device for incremental semantic analysis - Gregor Snelting Wolfgang Henhapl",0.2178379814,0.2178379814
1986,"POPL","Distributed data structures in Linda - Nicholas Carriero David Gelernter Jerrold Leichter",0.2178379814,0.2178379814
1986,"POPL","Para-functional programming - Paul Hudak Lauren Smith",0.2178379814,0.2178379814
1986,"POPL","Annotations for distributed programming in logic - Raghu Ramakrishnan Abraham Silberschatz",0.2178379814,0.2178379814
1986,"POPL","Representation independence and data abstraction - John C. Mitchell",0.2178379814,0.2178379814
1986,"POPL","Using dependent types to express modular structure - David B. MacQueen",0.2178379814,0.2178379814
1986,"POPL","Type is not a type - Albert R. Meyer Mark B. Reinhold",0.2178379814,0.2178379814
1986,"POPL","Data flow analysis of applicative programs using minimal function graphs - Neil D. Jones Alan Mycroft",0.2178379814,0.2178379814
1986,"POPL","A mechanically certified theorem about optimal concurrency of sorting networks - Christian Lengauer Chua-Huang Huang",0.2178379814,0.2178379814
1986,"POPL","Executable specifications with quantifiers in the FASE system - Stan Jefferson Samuel N. Kamin",0.2178379814,0.2178379814
1986,"POPL","Finding the source of type errors - Mitchell Wand",0.2178379814,0.2178379814
