Year,POPL # of papers,POPL Topic 0,POPL Topic 1
2003,25,1999.47274757,2326.89346242
1997,37,0.1831049968,0.1831049968
1986,30,0.1831049968,0.1831049968
1987,29,0.1831049968,0.1831049968
1984,32,1758.83126291,1274.31619709
1985,30,0.1831049968,0.1831049968
1982,38,1205.41513264,1199.68791946
1983,28,1389.37187723,1158.60147562
1980,25,1573.29215202,959.394057971
1981,24,691.380089338,1871.31945399
1988,28,0.1831049968,0.1831049968
1989,30,0.1831049968,0.1831049968
2014,55,2253.9993256,3547.25779349
2011,52,1568.39741545,3966.430333
2010,41,2068.7401594,3474.82117255
2013,48,2125.49225693,3537.04061973
2012,48,2059.09844533,3497.038598
2005,31,1655.50553598,3424.82841595
1991,31,2124.10474767,1274.29372039
1990,31,0.1831049968,0.1831049968
1993,43,1515.56648624,1600.68344468
1992,31,2158.86287902,1573.98720194
1995,35,2090.73125927,2054.2063793
1994,39,2506.06152973,1368.53544949
1979,27,941.065009485,2033.8937931
1978,27,1083.41953907,2044.65037463
1977,25,1191.61153433,1906.75467567
1976,20,689.26661007,2020.94959992
1975,23,975.206209496,1134.33391354
1996,34,2082.70561298,2017.9253029
1973,22,1453.16851274,850.379515432
2002,30,1267.86061443,1804.97226223
1999,25,2822.77957342,1582.22663657
2000,31,0.1831049968,0.1831049968
2001,26,2146.7413781,1221.58637035
2006,36,2334.93726702,3027.59560964
2007,39,1598.77531033,2606.97551505
2004,29,2487.43420284,2449.58717956
1998,32,0.1831049968,0.1831049968
2008,38,2132.9467672,2797.39312701
2009,39,1461.60941467,3852.06448763
