Year,POPL # of papers,POPL Topic 0,POPL Topic 1
2003,25,2491.3679954,1835.01670467
1997,37,0.1923500352,0.1923500352
1986,30,0.1923500352,0.1923500352
1987,29,0.1923500352,0.1923500352
1984,32,1329.07532737,1704.0906227
1985,30,0.1923500352,0.1923500352
1982,38,1259.48693003,1145.63461215
1983,28,1545.75893945,1002.23290348
1980,25,1074.20683559,1458.49786448
1981,24,1688.13006173,874.587971677
1988,28,0.1923500352,0.1923500352
1989,30,0.1923500352,0.1923500352
2014,55,3805.88701471,1995.38859445
2011,52,4125.6324156,1409.21382293
2010,41,3904.176622,1639.40320002
2013,48,3774.71251558,1887.83885116
2012,48,3943.95877607,1612.19675734
2005,31,3721.34317954,1359.00926247
1991,31,991.157084962,2407.25987317
1990,31,0.1923500352,0.1923500352
1993,43,1303.39475297,1812.87366804
1992,31,1172.59308257,2560.27548847
1995,35,1620.89303641,2524.06309223
1994,39,1253.81374059,2620.80172871
1979,27,1423.10142258,1551.87587008
1978,27,1449.06320777,1679.02519601
1977,25,1429.50309198,1668.88160809
1976,20,1789.84650847,920.388191603
1975,23,1080.99133599,1028.56727712
1996,34,1712.26122185,2388.38818411
1973,22,960.539332957,1343.02718529
2002,30,1978.48241739,1094.36894934
1999,25,1636.60018434,2768.42451573
2000,31,0.1923500352,0.1923500352
2001,26,1450.44242889,1917.90380964
2006,36,3627.21383957,1735.33752717
2007,39,2840.46976973,1365.29954573
2004,29,2701.12846585,2235.91140663
1998,32,0.1923500352,0.1923500352
2008,38,3363.82285874,1566.53552554
2009,39,3971.53931277,1342.15307961
